ELECTION_PROCESS,YEAR,ZIP_CODE,REGION,PROVINCE,DISTRICT,TOTAL_VOTERS,MALE_VOTERS,FEMALE_VOTERS,UNDER_18,AGE_18_TO_20,AGE_21_TO_29,AGE_30_TO_35,AGE_36_TO_50,AGE_51_TO_75,OVER_75,INITIAL_EDUCATION,PRIMARY_EDUCATION,SECONDARY_EDUCATION,UNIVERSITY_EDUCATION,TECHNICAL_EDUCATION,SPECIAL_EDUCATION,NO_EDUCATION,DISABILITIES
ELECCIONES REGIONALES Y MUNICIPALES 2006,2006,010415,AMAZONAS,LUYA,SAN CRISTOBAL,389,193,196,0,33,96,44,125,85,6,0,238,95,6,0,0,50
ELECCIONES REGIONALES Y MUNICIPALES 2006,2006,010416,AMAZONAS,LUYA,SAN FRANCISCO DE YESO,386,204,182,0,21,76,58,126,100,5,0,262,65,16,1,0,42
ELECCIONES REGIONALES Y MUNICIPALES 2006,2006,010417,AMAZONAS,LUYA,SAN JERONIMO,538,301,237,0,44,128,82,154,121,9,0,342,146,6,1,0,43
ELECCIONES REGIONALES Y MUNICIPALES 2006,2006,010418,AMAZONAS,LUYA,SAN JUAN DE LOPECANCHA,420,222,198,0,38,107,58,130,79,8,0,329,67,3,1,0,20
ELECCIONES REGIONALES Y MUNICIPALES 2006,2006,010419,AMAZONAS,LUYA,SANTA CATALINA,627,351,276,0,74,181,98,176,96,2,0,454,122,1,0,0,50
ELECCIONES REGIONALES Y MUNICIPALES 2006,2006,010420,AMAZONAS,LUYA,SANTO TOMAS,"1,817",976,841,0,151,439,227,580,397,23,0,"1,123",559,28,6,0,101
ELECCIONES REGIONALES Y MUNICIPALES 2006,2006,010421,AMAZONAS,LUYA,TINGO,673,368,305,0,51,147,88,203,165,19,0,356,227,27,6,0,57
ELECCIONES REGIONALES Y MUNICIPALES 2006,2006,010422,AMAZONAS,LUYA,TRITA,663,329,334,0,65,195,103,167,129,4,0,379,224,3,0,0,57
ELECCIONES REGIONALES Y MUNICIPALES 2006,2006,010423,AMAZONAS,LUYA,PROVIDENCIA,586,374,212,0,39,165,107,168,104,3,0,344,190,20,0,0,32
ELECCIONES REGIONALES Y MUNICIPALES 2006,2006,010501,AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS,"3,070","1,624","1,446",0,213,696,421,975,679,86,0,"1,415","1,269",262,41,0,83
ELECCIONES REGIONALES Y MUNICIPALES 2006,2006,010502,AMAZONAS,RODRIGUEZ DE MENDOZA,COCHAMAL,569,330,239,0,47,160,70,170,109,13,0,390,148,12,3,0,16
ELECCIONES REGIONALES Y MUNICIPALES 2006,2006,010503,AMAZONAS,RODRIGUEZ DE MENDOZA,CHIRIMOTO,815,489,326,0,68,237,127,241,133,9,0,612,143,16,0,0,44
ELECCIONES REGIONALES Y MUNICIPALES 2006,2006,010504,AMAZONAS,RODRIGUEZ DE MENDOZA,HUAMBO,"2,199","1,198","1,001",0,162,488,288,734,483,44,0,"1,334",683,95,6,0,81
ELECCIONES REGIONALES Y MUNICIPALES 2006,2006,010505,AMAZONAS,RODRIGUEZ DE MENDOZA,LIMABAMBA,"1,185",690,495,0,86,299,180,349,256,15,0,794,337,31,3,0,20
ELECCIONES REGIONALES Y MUNICIPALES 2006,2006,010506,AMAZONAS,RODRIGUEZ DE MENDOZA,LONGAR,"1,107",599,508,0,80,270,143,330,256,28,0,724,318,27,2,0,36
ELECCIONES REGIONALES Y MUNICIPALES 2006,2006,010507,AMAZONAS,RODRIGUEZ DE MENDOZA,MILPUCC,529,314,215,0,46,133,80,163,97,10,0,379,126,7,1,0,16
ELECCIONES REGIONALES Y MUNICIPALES 2006,2006,010508,AMAZONAS,RODRIGUEZ DE MENDOZA,MARISCAL BENAVIDES,"1,212",662,550,0,115,302,146,358,261,30,0,697,418,33,8,0,56
ELECCIONES REGIONALES Y MUNICIPALES 2006,2006,010509,AMAZONAS,RODRIGUEZ DE MENDOZA,OMIA,"2,580","1,536","1,044",0,244,808,445,726,338,19,0,"1,737",648,40,3,0,152
