ELECTION_PROCESS,YEAR,ZIP_CODE,REGION,PROVINCE,DISTRICT,TOTAL_VOTERS,MALE_VOTERS,FEMALE_VOTERS,UNDER_18,AGE_18_TO_20,AGE_21_TO_29,AGE_30_TO_35,AGE_36_TO_50,AGE_51_TO_75,OVER_75,INITIAL_EDUCATION,PRIMARY_EDUCATION,SECONDARY_EDUCATION,UNIVERSITY_EDUCATION,TECHNICAL_EDUCATION,SPECIAL_EDUCATION,NO_EDUCATION,DISABILITIES
ELECCIONES REGIONALES Y MUNICIPALES 2063,2063,160302,MADRE DE DIOS,TAHUAMANU,IBERIA,4098,2347,1751,0,282,853,602,1222,998,141,0,1058,2625,164,38,1,212,3,0,2,2,4091
ELECCIONES REGIONALES Y MUNICIPALES 2064,2064,200406,PUNO,CHUCUITO,PISACOMA,2043,961,1082,0,121,353,233,486,675,175,0,735,1049,75,8,0,176,1,0,0,1,2041
ELECCIONES REGIONALES Y MUNICIPALES 2065,2065,070605,CUSCO,CANCHIS,PITUMARCA,5683,2713,2970,0,558,1386,713,1473,1301,252,2,1805,2536,76,18,0,1246,9,2,3,3,5666
ELECCIONES REGIONALES Y MUNICIPALES 2066,2066,090208,HUANUCO,AMBO,TOMAY-KICHWA,3221,1614,1607,0,207,670,425,848,828,243,0,976,1680,176,15,0,374,3,3,1,2,3212
ELECCIONES REGIONALES Y MUNICIPALES 2067,2067,010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,1490,778,712,0,121,292,165,417,372,123,0,692,655,56,7,0,80,3,0,0,1,1486
ELECCIONES REGIONALES Y MUNICIPALES 2068,2068,110316,JUNIN,JAUJA,MOLINOS,1513,763,750,0,132,335,165,363,417,101,0,416,871,89,9,0,128,2,0,2,0,1509
ELECCIONES REGIONALES Y MUNICIPALES 2069,2069,080312,HUANCAVELICA,ANGARAES,CCOCHACCASA,2471,1215,1256,0,306,711,342,613,449,50,0,713,1353,11,9,0,385,4,2,1,5,2459
ELECCIONES REGIONALES Y MUNICIPALES 2070,2070,080311,HUANCAVELICA,ANGARAES,SECCLLA,2144,1039,1105,0,223,518,241,497,530,135,1,604,1071,36,4,0,428,3,1,1,2,2137
ELECCIONES REGIONALES Y MUNICIPALES 2071,2071,051006,AYACUCHO,PAUCAR DEL SARA SARA,OYOLO,754,351,403,0,84,140,86,154,209,81,1,188,385,23,0,1,156,1,0,0,0,753
ELECCIONES REGIONALES Y MUNICIPALES 2072,2072,050102,AYACUCHO,HUAMANGA,ACOS VINCHOS,3769,1912,1857,0,399,976,456,976,736,226,0,1157,1748,21,1,0,842,3,2,1,3,3760
ELECCIONES REGIONALES Y MUNICIPALES 2073,2073,021503,ANCASH,YUNGAY,MANCOS,5750,2814,2936,0,350,1258,682,1471,1511,478,1,1597,2845,262,20,0,1025,8,4,1,1,5736
ELECCIONES REGIONALES Y MUNICIPALES 2074,2074,010312,AMAZONAS,BONGARA,JAZAN,5902,2919,2983,0,491,1250,688,1562,1550,361,4,2255,2949,267,59,0,368,6,6,23,7,5860
ELECCIONES REGIONALES Y MUNICIPALES 2075,2075,040206,AREQUIPA,CAYLLOMA,COPORAQUE,896,435,461,0,38,151,111,264,262,70,0,302,458,13,3,0,120,2,0,1,1,892
