REGION,PROVINCE,DISTRICT,CAPITAL,POVERTY_INDICATOR,POPULATION,NUMBER_OF_PROVINCES,NUMBER_OF_DISTRICTS,NUMBER_OF_VOTERS,PROVINCE_ALDERMEN,PROVINCE_COUNCILMEN,DISTRICT_ALDERMEN,DISTRICT_COUNCILMEN
Departamento,Provincia,Distrito,Capital,Indicador de pobreza,Población,N° Provincias,N° Distritos,Electores,Alcaldes provinciales,Regidores provinciales,Alcaldes distritales,Regidores distritales
PUNO,CARABAYA,ITUATA,TAMBILLO,POBRE EXTREMO,"6,488",0,1,"3,853",0,0,1,5
PUNO,CARABAYA,OLLACHEA,OLLACHEA,POBRE EXTREMO,"5,781",0,1,"3,904",0,0,1,5
PUNO,CARABAYA,SAN GABAN,LANLACUNI BAJO,NO POBRE,"4,183",0,1,"4,016",0,0,1,5
PUNO,CARABAYA,USICAYOS,USICAYOS,POBRE EXTREMO,"24,927",0,1,"2,377",0,0,1,5
PUNO,CHUCUITO,,JULI,,"152,207",1,6,"59,974",1,11,6,34
PUNO,CHUCUITO,JULI,JULI,POBRE NO EXTREMO,"21,384",0,1,"17,455",0,0,0,0
PUNO,CHUCUITO,DESAGUADERO,DESAGUADERO,POBRE NO EXTREMO,"32,280",0,1,"8,389",0,0,1,7
PUNO,CHUCUITO,HUACULLANI,HUACULLANI,POBRE EXTREMO,"23,734",0,1,"3,587",0,0,1,5
PUNO,CHUCUITO,PISACOMA,PISACOMA,POBRE NO EXTREMO,"13,801",0,1,"2,043",0,0,1,5
PUNO,CHUCUITO,POMATA,POMATA,POBRE NO EXTREMO,"16,027",0,1,"11,944",0,0,1,5
PUNO,CHUCUITO,ZEPITA,ZEPITA,POBRE NO EXTREMO,"18,989",0,1,"12,634",0,0,1,5
PUNO,CHUCUITO,KELLUYO,KELLUYO,POBRE NO EXTREMO,"25,992",0,1,"3,922",0,0,1,7
PUNO,HUANCANE,,HUANCANE,,"67,257",1,7,"55,668",1,9,7,35
PUNO,HUANCANE,HUANCANE,HUANCANE,POBRE NO EXTREMO,"18,689",0,1,"17,575",0,0,0,0
PUNO,HUANCANE,COJATA,COJATA,POBRE EXTREMO,"4,576",0,1,"3,721",0,0,1,5
PUNO,HUANCANE,INCHUPALLA,INCHUPALLA,POBRE NO EXTREMO,"3,451",0,1,"2,940",0,0,1,5
PUNO,HUANCANE,PUSI,PUSI,POBRE NO EXTREMO,"6,540",0,1,"4,307",0,0,1,5
PUNO,HUANCANE,ROSASPATA,ROSASPATA,POBRE EXTREMO,"5,368",0,1,"4,827",0,0,1,5
PUNO,HUANCANE,TARACO,TARACO,POBRE NO EXTREMO,"14,497",0,1,"11,466",0,0,1,5
PUNO,HUANCANE,VILQUE CHICO,VILQUE CHICO,POBRE NO EXTREMO,"8,451",0,1,"8,551",0,0,1,5
PUNO,HUANCANE,HUATASANI,HUATASANI,POBRE NO EXTREMO,"5,685",0,1,"2,281",0,0,1,5
PUNO,LAMPA,,LAMPA,,"53,033",1,9,"35,906",1,9,9,45
