Year,ZIP_Code,Cancer Group,Male Count,Female Count,Total_Count
2011-2015,60467,All Cancers Combined,463.00,485.00,948.00
2011-2015,60468,All Cancers Combined,104.00,79.00,183.00
2011-2015,60469,All Cancers Combined,62.00,60.00,122.00
2011-2015,60470,All Cancers Combined,9.00,12.00,21.00
2011-2015,60471,All Cancers Combined,168.00,197.00,365.00
2011-2015,60472,All Cancers Combined,85.00,88.00,173.00
2011-2015,60473,All Cancers Combined,330.00,378.00,708.00
2011-2015,60474,All Cancers Combined,15.00,7.00,22.00
2011-2015,60475,All Cancers Combined,154.00,136.00,290.00
2011-2015,60476,All Cancers Combined,37.00,38.00,75.00
2011-2015,60477,All Cancers Combined,618.00,646.00,1264.00
2011-2015,60478,All Cancers Combined,242.00,264.00,506.00
2011-2015,60479,All Cancers Combined,7.00,9.00,16.00
2011-2015,60480,All Cancers Combined,91.00,77.00,168.00
2011-2015,60481,All Cancers Combined,230.00,192.00,422.00
2011-2015,60482,All Cancers Combined,187.00,160.00,347.00
2011-2015,60484,All Cancers Combined,79.00,90.00,169.00
2011-2015,60487,All Cancers Combined,351.00,386.00,737.00
2011-2015,60490,All Cancers Combined,155.00,208.00,363.00
2011-2015,60491,All Cancers Combined,396.00,366.00,762.00
2011-2015,60499,All Cancers Combined,2.00,0.00,2.00
2011-2015,60501,All Cancers Combined,117.00,114.00,231.00
2011-2015,60502,All Cancers Combined,175.00,237.00,412.00
2011-2015,60503,All Cancers Combined,89.00,147.00,236.00
2011-2015,60504,All Cancers Combined,231.00,371.00,602.00
2011-2015,60505,All Cancers Combined,462.00,435.00,897.00
2011-2015,60506,All Cancers Combined,602.00,596.00,1198.00
2011-2015,60507,All Cancers Combined,6.00,10.00,16.00
2011-2015,60510,All Cancers Combined,353.00,443.00,796.00
2011-2015,60511,All Cancers Combined,32.00,25.00,57.00
2011-2015,60512,All Cancers Combined,24.00,16.00,40.00
2011-2015,60513,All Cancers Combined,245.00,280.00,525.00
2011-2015,60514,All Cancers Combined,106.00,154.00,260.00
2011-2015,60515,All Cancers Combined,437.00,486.00,923.00
2011-2015,60516,All Cancers Combined,414.00,465.00,879.00
2011-2015,60517,All Cancers Combined,325.00,475.00,800.00
2011-2015,60518,All Cancers Combined,71.00,43.00,114.00
2011-2015,60519,All Cancers Combined,1.00,5.00,6.00
2011-2015,60520,All Cancers Combined,30.00,50.00,80.00
2011-2015,60521,All Cancers Combined,218.00,257.00,475.00
2011-2015,60522,All Cancers Combined,0.00,3.00,3.00
2011-2015,60523,All Cancers Combined,272.00,269.00,541.00
2011-2015,60525,All Cancers Combined,510.00,604.00,1114.00
2011-2015,60526,All Cancers Combined,208.00,259.00,467.00
2011-2015,60527,All Cancers Combined,433.00,527.00,960.00
2011-2015,60530,All Cancers Combined,10.00,5.00,15.00
2011-2015,60531,All Cancers Combined,34.00,28.00,62.00
2011-2015,60532,All Cancers Combined,326.00,425.00,751.00
2011-2015,60534,All Cancers Combined,134.00,151.00,285.00
2011-2015,60536,All Cancers Combined,6.00,1.00,7.00
2011-2015,60537,All Cancers Combined,17.00,9.00,26.00
2011-2015,60538,All Cancers Combined,295.00,316.00,611.00
2011-2015,60539,All Cancers Combined,0.00,1.00,1.00
2011-2015,60540,All Cancers Combined,531.00,608.00,1139.00
2011-2015,60541,All Cancers Combined,49.00,49.00,98.00
2011-2015,60542,All Cancers Combined,183.00,227.00,410.00
2011-2015,60543,All Cancers Combined,395.00,459.00,854.00
2011-2015,60544,All Cancers Combined,374.00,466.00,840.00
2011-2015,60545,All Cancers Combined,137.00,142.00,279.00
2011-2015,60546,All Cancers Combined,264.00,297.00,561.00
2011-2015,60548,All Cancers Combined,184.00,204.00,388.00
2011-2015,60549,All Cancers Combined,16.00,5.00,21.00
2011-2015,60550,All Cancers Combined,26.00,23.00,49.00
2011-2015,60551,All Cancers Combined,83.00,65.00,148.00
2011-2015,60552,All Cancers Combined,66.00,82.00,148.00
2011-2015,60553,All Cancers Combined,13.00,6.00,19.00
2011-2015,60554,All Cancers Combined,157.00,168.00,325.00
2011-2015,60555,All Cancers Combined,157.00,201.00,358.00
2011-2015,60556,All Cancers Combined,29.00,27.00,56.00
2011-2015,60557,All Cancers Combined,1.00,4.00,5.00
2011-2015,60558,All Cancers Combined,204.00,215.00,419.00
2011-2015,60559,All Cancers Combined,272.00,355.00,627.00
2011-2015,60560,All Cancers Combined,259.00,306.00,565.00
2011-2015,60561,All Cancers Combined,412.00,446.00,858.00
2011-2015,60563,All Cancers Combined,374.00,509.00,883.00
2011-2015,60564,All Cancers Combined,399.00,494.00,893.00
2011-2015,60565,All Cancers Combined,455.00,588.00,1043.00
2011-2015,60567,All Cancers Combined,4.00,7.00,11.00
2011-2015,60585,All Cancers Combined,171.00,244.00,415.00
2011-2015,60586,All Cancers Combined,352.00,456.00,808.00
2011-2015,60598,All Cancers Combined,2.00,2.00,4.00
2011-2015,60601,All Cancers Combined,116.00,154.00,270.00
2011-2015,60602,All Cancers Combined,17.00,23.00,40.00
2011-2015,60603,All Cancers Combined,9.00,10.00,19.00
2011-2015,60604,All Cancers Combined,11.00,5.00,16.00
2011-2015,60605,All Cancers Combined,222.00,256.00,478.00
2011-2015,60606,All Cancers Combined,22.00,29.00,51.00
2011-2015,60607,All Cancers Combined,182.00,186.00,368.00
2011-2015,60608,All Cancers Combined,605.00,567.00,1172.00
2011-2015,60609,All Cancers Combined,542.00,572.00,1114.00
2011-2015,60610,All Cancers Combined,459.00,629.00,1088.00
2011-2015,60611,All Cancers Combined,444.00,567.00,1011.00
2011-2015,60612,All Cancers Combined,396.00,375.00,771.00
2011-2015,60613,All Cancers Combined,408.00,485.00,893.00
2011-2015,60614,All Cancers Combined,586.00,691.00,1277.00
2011-2015,60615,All Cancers Combined,463.00,575.00,1038.00
2011-2015,60616,All Cancers Combined,618.00,700.00,1318.00
2011-2015,60617,All Cancers Combined,985.00,1192.00,2177.00
2011-2015,60618,All Cancers Combined,689.00,827.00,1516.00
2011-2015,60619,All Cancers Combined,920.00,1152.00,2072.00
2011-2015,60620,All Cancers Combined,993.00,1262.00,2255.00
2011-2015,60621,All Cancers Combined,445.00,487.00,932.00
2011-2015,60622,All Cancers Combined,344.00,384.00,728.00
2011-2015,60623,All Cancers Combined,643.00,713.00,1356.00
2011-2015,60624,All Cancers Combined,440.00,528.00,968.00
2011-2015,60625,All Cancers Combined,631.00,739.00,1370.00
2011-2015,60626,All Cancers Combined,519.00,504.00,1023.00
2011-2015,60628,All Cancers Combined,1084.00,1124.00,2208.00
2011-2015,60629,All Cancers Combined,868.00,948.00,1816.00
2011-2015,60630,All Cancers Combined,616.00,741.00,1357.00
2011-2015,60631,All Cancers Combined,436.00,528.00,964.00
2011-2015,60632,All Cancers Combined,591.00,646.00,1237.00
2011-2015,60633,All Cancers Combined,195.00,190.00,385.00
2011-2015,60634,All Cancers Combined,894.00,1025.00,1919.00
2011-2015,60636,All Cancers Combined,483.00,600.00,1083.00
2011-2015,60637,All Cancers Combined,567.00,650.00,1217.00
2011-2015,60638,All Cancers Combined,745.00,833.00,1578.00
2011-2015,60639,All Cancers Combined,694.00,735.00,1429.00
2011-2015,60640,All Cancers Combined,756.00,788.00,1544.00
2011-2015,60641,All Cancers Combined,692.00,796.00,1488.00
2011-2015,60642,All Cancers Combined,133.00,123.00,256.00
2011-2015,60643,All Cancers Combined,791.00,882.00,1673.00
2011-2015,60644,All Cancers Combined,671.00,670.00,1341.00
2011-2015,60645,All Cancers Combined,479.00,557.00,1036.00
2011-2015,60646,All Cancers Combined,364.00,494.00,858.00
2011-2015,60647,All Cancers Combined,587.00,650.00,1237.00
2011-2015,60649,All Cancers Combined,588.00,761.00,1349.00
2011-2015,60651,All Cancers Combined,642.00,770.00,1412.00
2011-2015,60652,All Cancers Combined,465.00,514.00,979.00
2011-2015,60653,All Cancers Combined,396.00,506.00,902.00
2011-2015,60654,All Cancers Combined,110.00,147.00,257.00
